"title","reason","http_status","url"
"File:View of Kanaka Durga Temple Basement.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/d/d7/View_of_Kanaka_Durga_Temple_Basement.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Kanak-durga-2.JPG","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/3/30/Kanak-durga-2.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:KANAKADURGA TEMPLE-Dr. Murali Mohan Gurram (2).jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/d/d5/KANAKADURGA_TEMPLE-Dr._Murali_Mohan_Gurram_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Durga temple, Vijayawada.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/5/58/Durga_temple%2C_Vijayawada.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Kanak devi-A.P.JPG","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/9/93/Kanak_devi-A.P.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:A View of Indrakeeladri Hill at Vijayawada 02.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/7/78/A_View_of_Indrakeeladri_Hill_at_Vijayawada_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:View of Temple from Parakasam Barage in Vijayawada.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/1/15/View_of_Temple_from_Parakasam_Barage_in_Vijayawada.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Durga temple 01.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/4/4a/Durga_temple_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Kanka Durga Temple.JPG","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/e/e2/Kanka_Durga_Temple.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
"File:Indrakeeladri in Vijayawada.jpg","The remote server returned an error: (429) Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1).","429","https://upload.wikimedia.org/wikipedia/commons/0/02/Indrakeeladri_in_Vijayawada.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled"
