id,asset_id,asset_code,asset_name,evidence_type,feature_name,numeric_value,text_value,unit,component,source_tier,source_authority,source_key,source_title,is_derived,verification_method,is_synthetic,is_current_condition_label,is_health_label,is_risk_label,is_rul_label,verified_at,created_at
1,2,AP_BR_00001,Godavari Arch Bridge,CONSTRUCTION_HISTORY,construction_start_year,1991.0,,YEAR,WHOLE_BRIDGE,A2_GOVERNMENT_PUBLIC_INFORMATION,East Godavari District Administration,EAST_GODAVARI_ENGINEERING_TOURISM,Engineering Tourism - Arch Bridge,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
2,2,AP_BR_00001,Godavari Arch Bridge,CONSTRUCTION_HISTORY,construction_completion_year,1997.0,,YEAR,WHOLE_BRIDGE,A2_GOVERNMENT_PUBLIC_INFORMATION,East Godavari District Administration,EAST_GODAVARI_ENGINEERING_TOURISM,Engineering Tourism - Arch Bridge,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
3,2,AP_BR_00001,Godavari Arch Bridge,OPERATION_HISTORY,full_operation_year,2003.0,,YEAR,WHOLE_BRIDGE,A2_GOVERNMENT_PUBLIC_INFORMATION,East Godavari District Administration,EAST_GODAVARI_ENGINEERING_TOURISM,Engineering Tourism - Arch Bridge,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
4,2,AP_BR_00001,Godavari Arch Bridge,GEOMETRY,reported_total_length_m,2745.0,,M,WHOLE_BRIDGE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian Engineering Heritage Technical Reference,GODAVARI_ARCH_TECH_REFERENCE,Technical design reference for Godavari Arch Bridge,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
5,2,AP_BR_00001,Godavari Arch Bridge,STRUCTURAL_GEOMETRY,arch_span_count,28.0,,SPANS,ARCH_SUPERSTRUCTURE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
6,2,AP_BR_00001,Godavari Arch Bridge,STRUCTURAL_GEOMETRY,pier_count,28.0,,PIERS,SUBSTRUCTURE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian Railway technical reference chain,GODAVARI_ARCH_PIER_REFERENCE,Godavari Arch Bridge technical specifications,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
7,2,AP_BR_00001,Godavari Arch Bridge,STRUCTURAL_GEOMETRY,main_span_m,97.552,,M,ARCH_SPAN,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
8,2,AP_BR_00001,Godavari Arch Bridge,STRUCTURAL_SYSTEM,bridge_type,,BOW_STRING_GIRDER_PRESTRESSED_RCC_ARCH,,SUPERSTRUCTURE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
9,2,AP_BR_00001,Godavari Arch Bridge,MATERIAL,arch_concrete_grade,45.0,M45_REINFORCED_CONCRETE,MPA_GRADE,TWIN_ARCHES,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
10,2,AP_BR_00001,Godavari Arch Bridge,STRUCTURAL_GEOMETRY,arch_width_m,0.8,,M,TWIN_ARCHES,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03T13:39:39.738103+00:00,2026-09-03T13:39:39.938501+00:00
